index,id,article_title,article_language,journal_title,journal_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
234,235689,Obstetrical anal sphincter laceration and anal incontinence 5-10 years after childbirth,0,Am J Obstet Gynecol,PloS one,0002-9378 (Print)x 0002-9378,207,5,1/12/01,425.e1-6,"{""K. C. McDermott""""J. L. Blomquist""""V. L. Handa""""E. C. Evers""}"
235,659896,Comparative effectiveness of instructional design features in simulation-based education: systematic review and meta-analysis.,0,Medical teacher,Journal of graduate medical education,1466-187X,35,1,0,e867-98,"{""Benjamin Zendejas""""Stanley J Hamstra""""Rose Hatala""""David A Cook""""Amy T Wang""""Jason H Szostek""""Patricia J Erwin""""Ryan Brydges""}"
236,84944,Body mass index and outcome of ASC-H-interpreted cervical smears in postmenopausal women.,0,Acta cytologica,BMC Neurol,Jan-47,56,3,1/12/01,259-65,"{""Jae Jun Lee""""Sang Yong Song""""Soomin Ahn""""Young Lyun Oh""""Ji-Youn Sung""""Chang Ohk Sung""""Yoo-Young Lee""}"
237,326944,Plasma concentration of asymmetric dimethylarginine and the risk of coronary heart disease: rationale and design of the multicenter CARDIAC study.,eng,Atherosclerosis. Supplements,Atheroscler Suppl,1567-5688,4,4,1/3/12,29-32,"{""Andreas M_gge""""Christoph Hanefeld""""Rainer H B_ger""""[Collective Name] CARDIAC study investigators""}"
238,922795,[Toxicology and clinical significance of base-catalized degradation of sevoflurane to Compound A].,ger,empty,0,empty,45,-1,2/1/96,S10-3,"{""R M Jones""""P Conzen""}"
239,768486,Functionality and feedback: a protocol for a realist synthesis of the collation interpretation and utilisation of PROMs data to improve patient care,empty,empty,PloS one,empty,4,7,0,e005601,"{""C. Mills""""S. Dalkin""""J. Greenhalgh""""C. Wood""""L. Wood""""J. Wright""""E. Gibbons""""N. Black""""J. M. Valderas""""R. Pawson""""D. Meads""}"
240,428363,Case report. Cutaneous cryptococcosis in a patient with systemic erythematous lupus.,eng,Mycoses,Mycoses,0933-7407,44,9,1/1/11,419-21,"{""L Ramos""""S Mathur_n""""A Mateo""""C L_pez""""C G_mez""}"
241,519287,A method for determining skeletal lengths from DXA images.,0,BMC Musculoskelet Disord,BMC musculoskeletal disorders,1471-2474,8,-1,1/7/01,113,"{""Glen M Blake""""Tim D Spector""""Ignac Fogelman""""Usha Chinappen-Horsley""}"
242,638918,Imaging for target volume delineation in rectal cancer radiotherapy--a systematic review.,eng,empty,Trans. R. Soc. Trop. Med. Hyg.,empty,24,1,1/12/02,52-63,"{""R Webster""""E Spezi""""S Mukherjee""""R Adams""""S Gwynne""""J Staffurth""""B Coles""}"
243,111336,The influence of smoking and impaired glucose homoeostasis on the outcome in patients presenting with an acute coronary syndrome: a cross-sectional study.,empty,empty,PloS one,empty,4,7,0,e005077,"{""Anders Halling""""Hkan Odeberg""""Henrik Forssell""""Jacob Odeberg""""Marie-Louise Persson""""Lennart Rstam""""Ivar Vaara""""Ulf Lindblad""""Michael Freitag""}"
244,747279,Systematic review exploring the effect of exercise in pulmonary rehabilitation on depression levels in patients with chronic obstructive pulmonary disease,0,Physiotherapy,empty,1873-1465,97,0,0,eS502-eS503,"{""Patil S.""""Horobin H.""}"
245,674696,Environmental and genomic factors as well as interventions influencing smoking cessation: a systematic review of reviews and a proposed working model.,0,Public health genomics,Journal of graduate medical education,1662-8063,16,4,1/13/01,159-73,"{""A Brand""""J Van der Heyden""""S de Viron""""H Van Oyen""""N Malats""}"
246,258108,Impact of seasonality on recruitment retention adherence and outcomes in a web-based smoking cessation intervention: randomized controlled trial,pol,empty,Biol.Blood Marrow Transplant.,0,-1,0,0,e249-,"{""Mushro A""""Niaura R S""""Graham A L""""Cobb N K""""Fang Y""""Cha S""}"
247,59308,White matter diffusivity predicts memory in patients with subjective and mild cognitive impairment and normal CSF total tau levels.,0,Journal of the International Neuropsychological Society : JINS,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,1469-7661,16,1,1/10/01,58-69,"{""Ramune Grambaite""""Anders M Fjell""""Tormod Fladby""""Kristine B Walhovd""""Vidar Stenset""""Ivar Reinvang""}"
248,610641,Comparison between open and closed suction systems: a systematic review.,ENGPOR,Revista Brasileira de terapia intensiva,Rev Bras Ter Intensiva,1982-4335,20,4,1/8/12,331-338,"{""Luiz Rogrio de Carvalho Oliveira""""Nilza Aparecida Almeida de Carvalho""""Flvio C L Cavalcanti Ara_jo""""Izabela Menezes Pagotto""""Paulo Chiavone""}"
249,631704,Association between interleukin-10 promoter polymorphisms and endometriosis: a meta-analysis.,eng,Gene,Gene,1879-0038,515,1,2/15/13,49-55,"{""Qiong Chen""""Wei Fan""""Qianhong Ma""""Zhongying Huang""""Zhun Xiao""""Shangwei Li""}"
250,846537,Overactive bladder: Optimizing quality of care,empty,empty,empty,empty,7,2,0,S46-S61,"{""Lemack G.E.""}"
251,973076,Thyroid-related autoantibodies and celiac disease: a role for a gluten-free diet?,0,empty,0,empty,35,3,1/2/09,245-8,"{""E. Mainardi""""G. Moscato""""A. Montanelli""""M. Dotti""""R. Nano""}"
252,931402,Providing access to specialty care for severely disabled institutional residents: an academic health center telemedicine model,eng,empty,J Environ Monit,empty,20,2,0,415-422 8p,"{""A. K. Marcee""""S. P. Roaten""""J. B. Morrow""""K. J. Kowalske""""L. E. Snell""""L. L. Goetz""}"
253,908690,A robust method for diagnosis of morphological arrhythmias based on Hermitian model of higher-order statistics,0,Biomedical engineering online,Biomed Eng Online,1475-925X,10,0,1/11/01,22,"{""Address Correspondence""""S. Karimifard""""Addresses Author""""ahmadian@sina.tums.ac.ir """"Tehran Medical Physics""""Tehran Medical Physics""""Department of Biomedical Systems S. Karimifard""""Tums Tehran Iran Email University of Medical Sciences""""A. Ahmadian""""Tums Tehran Iran University of Medical Sciences""""Systems Department of Biomedical""}"
254,417373,Shared decision making and the future of managed care,empty,empty,0,empty,1,1,1/1/97,15-16,"{""J. E. Wennberg""}"
255,759329,Specific plasma factors blocking human maternal cell-mediated immune reaction to placental antigens.,eng,Nature: New biology,Nature New Biol.,0090-0028,242,117,3/28/73,110-1,"{""V Youtananukorn""""P Mantangkasombut""}"
256,386327,MicroRNAs: a new piece in the paediatric cardiovascular disease puzzle.,0,Cardiology in the young,Curr Drug Targets,1467-1107,23,5,1/13/10,642-55,"{""Dalia Elimam""""Keith A Webster""""Ahmed Omran""""Fei Yin""""Lina A Shehadeh""}"
257,695010,Association of Ureaplasma urealyticum colonization with development of bronchopulmonary dysplasia: a systemic review and meta-analysis.,0,Journal of Huazhong University of Science and Technology. Medical Sciences,Tumour Biol.,1672-0733,34,2,0,265-9,"{""Jia-rui Pu""""Dan Li""""De-hua Yang""""Li-duan Zheng""""Xiao-dan Zheng""""Hong Mei""""Xuan Xiang""""Qiang-song Tong""}"
258,191908,Mortality at older ages and moves in residential and sheltered housing: evidence from the UK,empty,empty,0,empty,68,6,0,524-529,"{""J. Falkingham""""M. Evandrou""""A. Vlachantoni""""J. Robards""}"
259,384767,A multinational study of thromboprophylaxis practice in critically ill children.,0,Critical care medicine,Crit. Care Med.,1530-0293,42,5,1/14/05,1232-40,"{""Sarah H O'Brien""""Marisa Tucci""""Antonio Rodriguez Nunez""""Philip C Spinella""""Li Qin""""Edward Vincent S Faustino""""Adrienne G Randolph""""Edward Truemper""""Simon Li""""Kimberly Marohn""""Sheila Hanson""""Michael Yung""""[Collective Name] PROphylaxis against ThRombosis prACTice (PROTRACT) Study Investigators of the PALISI BloodNet""}"
260,855912,Asymmetric inheritance of mitochondrial content in aging budding yeast cells,English,empty,0,empty,23,24,1/12/01,empty,"{""E. A. Martin""""L. F. Costa""""H. Li""""Y. Zhang""""M. P. Viana""""S. M. Rafelski""""W. F. Marshall""}"
261,710727,Physical activity moderates time-of-day differences in older adults' working memory performance.,empty,empty,0,empty,32,4,1/6/10,431-446 16p,"{""DeLosh EL""""Bugg JM""""Clegg BA""}"
262,816996,Uses of the electrical skin resistance method in the study of patients with neck and upper extremity pain,0,Johns Hopkins Medical Journal,JOHNS HOPKINS MED. J.,0,16,10,1/1/75,69-74,"{""C.P. Richter""""L.H. Riley Jr.""}"
263,625016,[New aspects in hernia surgery].,ger,empty,0,empty,44,7,1/5/07,774-9,"{""P E Goretzki""""B J Lammers""""T Otto""}"
264,275675,An exploration of self-reported negative affect by adolescents as a reason for smoking: implications for tobacco prevention and intervention programs,0,Prev Med,Pediatrics,0091-7435,41,2,1/5/01,589-96,"{""J. Robinson""""D. W. Smith""""B. Colwell""""S. L. Stevens""""C. McMillan""}"
265,967376,Diagnosis of peripheral lung cancer with three echoic features via endobronchial ultrasound,empty,empty,Proc.Natl.Acad.Sci.U.S.A.,0,25,4,0,922-9,"{""H. C. Chen""""S. M. Lin""""C. L. Chou""""C. T. Yu""""H. P. Kuo""""C. H. Kuo""}"
266,640230,A meta-analysis of labor supply effects of interventions for major depressive disorder.,eng,empty,0,empty,57,2,1/6/02,212-8,"{""Justin W Timbie""""Marcela Horvitz-Lennon""""Sharon-Lise T Normand""""Richard G Frank""}"
267,625663,Combined pharmacotherapy and psychological treatment for depression: a systematic review.,eng,Archives of General Psychiatry,Arch.Gen.Psychiatry,0003-990X,61,7,1/4/07,714-9,"{""Paola Bollini""""Giuseppe Tibaldi""""Bruce Kupelnick""""Carmine Munizza""""Sandro Pampallona""}"
268,480649,Dyspareunia and sexual dysfunction following vaginal delivery in thai primiparous women with second degree perineal tear: A prospective cohort study,German,empty,0,0,-1,1,1/15/01,58,"{""A. Ungkanungdecha""""C. Chayachinda""""J. Veeragul""""J. Jisabai""}"
269,782541,eComment. EuroSCORE II - corrected in-hospital mortality rate in a modern cohort of patients undergoing cardiac surgery,0,Interactive Cardiovascular & Thoracic Surgery,Eur. J. Heart Fail.,1569-9285,19,5,1/14/01,733,"{""D. G. Nezic""}"
270,692358,The effect of a cervical lateral glide on the upper limb neurodynamic test: a blinded placebo-controlled investigation,empty,empty,0,empty,0,0,1/3/01,10-Oct,"{""A Green""""J Lewis""""C Worsfold""""J Saranga""}"
271,836847,Thoracic Aortic Aneurysm: Reading the Enemy's Playbook,empty,empty,empty,empty,33,5,0,203-277,"{""Elefteriades J.A.""}"
272,867207,Early predicting of blood component quality by Statistical Process Control,empty,empty,Expert Opin Emerg Drugs,empty,99,0,0,227,"{""H. Jungk""""W. Madla""""V. Schottstedt""""T. Alt""}"
273,253149,Lifetime risk of suicide in affective disorders,empty,empty,0,empty,173,0,0,185-185,"{""A. S. Lee""""S. Davies""""P. C. Naik""}"
274,929971,A geographic analysis of chronically homeless adults before and after enrollment in a multi-site supported housing initiative: community characteristics and migration,empty,empty,Klin.Psikofarmakol.Bul.,empty,48,3,0,341-51,"{""R. A. Rosenheck""""J. Tsai""""A. S. Mares""}"
275,470385,Fetal cleft lip and palate detection by three-dimensional ultrasonography,empty,empty,empty,empty,16,4,0,314-320,"{""Lee W.""""Kirk J.S.""""Shaheen K.W.""""Romero R.""""Hodges A.N.""""Comstock C.H.""}"
276,731703,Substance Abuse and Trauma in Incarcerated Women,empty,empty,empty,empty,0,0,1/11/01,0,"{""NCT01413984 ""}"
277,113399,Use of Job Design to Reduce Mechanical Stress on the Back,empty,empty,empty,empty,0,0,1/1/89,323-326,"{""D. W. Badger""}"
278,685178,Rehabilitation of swallowing by exercise in tube-fed patients with pharyngeal dysphagia secondary to abnormal UES opening.,eng,empty,Oper Dent,empty,122,5,1/2/05,1314-21,"{""Mark Kern""""Karen Dikeman""""Barbara Grande""""Marta Kazandjian""""Terilynn Nitschke""""Stephanie Daniels""""Benson Massey""""Reza Shaker""""Caryn Easterling""}"
279,653325,A meta-analysis of two genome-wide association studies identifies 3 new loci for alcohol dependence.,eng,Journal of psychiatric research,J Psychiatr Res,1879-1379,45,11,1/11/11,1419-25,"{""Min Zeng""""Yue Pan""""Qunyuan Zhang""""Ke-Sheng Wang""""Nagesh Aragam""""Xuefeng Liu""}"
280,893573,Crowdsourced Multimedia Enhanced Spatio-temporal Constraint Based on-Demand Social Network for Group Mobility,empty,empty,Stroke,empty,0,0,0,761-762,"{""Ahmad Qamar""""Muhammad Shahid""""Md. Abdur Rahman""""Ahmed Lbath""""Akhlaq Ahmad""""Faizan Ur Rehman""""Abdullah Murad""""Bilal Sadiq""}"
281,56272,Impaired default network functional connectivity in autosomal dominant Alzheimer disease.,eng,Neurology,Neurology,1526-632X,81,8,8/20/13,736-44,"{""Virginia D Buckles""""Andrew J Saykin""""Eric McDade""""Stephen P Salloway""""Aaron P Schultz""""Peter R Schofield""""Randall Bateman""""Adam M Brickman""""Nick C Fox""""John C Morris""""John M Ringman""""Christopher C Rowe""""Paul Thompson""""Clifford Jack""""Beau M Ances""""Allison M Goate""""Robert A Koeppe""""Stephen Correia""""Jasmeer P Chhatwal""""Caroline A Sullivan""""Anne M Fagan""""Richard Mayeux""""Daniel S Marcus""""Tammie L S Benzinger""""Keith Johnson""""Reisa A Sperling""""Chengjie Xiong""}"
282,737786,Cranial reconstruction of major traumatic defects in children with osteoinductive and resorbable materials,empty,empty,Klin.Psikofarmakol.Bul.,empty,40,0,1/11/01,1024-1025,"{""R. R. M. Bos""""E. W. Hoving""""M. Wagemakers""}"
283,680306,Meta-analysis of the effects of sometribove zinc suspension on the production and health of lactating dairy cows.,0,Journal of the American Veterinary Medical Association,J ECT,1943-569X,245,5,1/14/09,550-64,"{""William W Thatcher""""Normand R St-Pierre""""Dale E Bauman""""Joseph S Hogan""""K Larry Smith""""Robert J Collier""""George A Milliken""""Jan K Shearer""}"
284,53877,Journal of Health Communication : International Perspectives The Effect of an Internet-Based  Stage- Matched Message Intervention on Young Taiwanese Women ' s Physical Activity,empty,empty,empty,empty,0,0,1/14/01,37-41 DO  - 10.1080/10810730902805788,"{""Sheu-jen Huang""""Maiga Chang""""Wen-chi Hung""""Janie Chang""}"
285,504928,Azathioprine for multiple sclerosis,empty,empty,empty,empty,0,4,1/7/01,0,"{""Ilaria Casetta""""Gerardo Iuliano""""Graziella Filippini""}"
286,198650,Wound care,0,empty,J Am Diet Assoc,empty,-1,1,1/1/92,27-32 ST  - Wound care-,{NULL}
287,671386,Comparison between incidental malignant and benign breast lesions detected by computed tomography: a systematic review.,0,Journal of medical imaging and radiation oncology,Curr. Opin. Pediatr.,1754-9485,57,5,1/13/10,529-33,"{""Jasmin Abbas""""Cholpan Jasaabuu""""Andreas Gunter Bach""""Alexey Surov""""Dominik Schramm""""Andreas Wienke""}"
288,981412,Plant Kunitz proteinase inhibitor attenuates inflammation oxidative stress and remodeling induced by elastase in mice,eng,empty,0,0,-1,1,1/14/01,empty,"{""N. M. Pinheiro""""R. Almeida-Reis""""L. Oliva""""M. A. Martins""""M. L. V. Oliva""""O. A. Theodoro-Junior""""E. A. Leick""""I. F. L. C. Tibrio""""C. M. Prado""""R. F. Righetti""""B. T. M. Oliveira""}"
289,785472,Streptococcus pneumoniae carriage in the Gaza strip,eng,PLoS One,PloS one,1932-6203,7,4,1/12/01,e35061,"{""G. Rahav""""G. Regev-Yochay""""I. Abullaish""""A. Elhamdany""""R. Malley""""M. Raz""""A. Goral""""Y. Roytman""""B. Shainberg""""M. Varon""""A. Ziv""}"
290,734077,Direct healthcare costs and cost-effectiveness of acute coronary syndrome secondary prevention with ticagrelor compared to clopidogrel: Economic evaluation from the public payer's perspective in Poland based on the PLATO trial results,empty,empty,Respirology,empty,72,9,0,823-830,"{""M. Niewada""""J. Paweska""""A. Budaj""""T. Macioch""""P. Perkowski""}"
291,46028,Changes in renal blood flow measured by radionuclide angiography following exhausting exercise in humans.,eng,European journal of applied physiology and occupational physiology,Eur J Appl Physiol Occup Physiol,0301-5548,74,1,1/1/96,7-Jan,"{""S Ikawa""""M Sudoh""""M Suzuki""""S Matsubara""""M Shiota""""K Kawakami""}"
292,743129,Hormonal and dietary characteristics in obese human subjects with and without food addiction.,0,Nutrients,Jornal de pediatria,2072-6643,7,1,1/15/01,223-38,"{""Pardis Pedram""""Guang Sun""}"
293,392246,Importance of membrane materials for blood purification devices in critical care.,eng,empty,Neurosurgery,empty,40,1,1/9/02,23-31,"{""Narumi Tomisawa""""Akihiro C Yamashita""}"
294,904889,Myofascial trigger points: Spontaneous electrical activity and its consequences for pain induction and propagation,empty,empty,empty,empty,6,0,0,empty,"{""Ge H.-Y.""""Fernndez-de-las-Peas C.""""Yue S.-W.""}"
295,360147,Treatment of large vessel vasculitis,empty,empty,Klin.Psikofarmakol.Bul.,empty,7,4,0,435-442,"{""M. A. Alba""""S. Prieto-Gonzalez""""A. Garcia-Martinez""""M. C. Cid""""M. Butjosa""""G. Espigol-Frigole""""J. Hernandez-Rodriguez""}"
296,670289,Quantitative assessment of the influence of common variations (rs8034191 and rs1051730) at 15q25 and lung cancer risk.,eng,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,Chest,1423-0380,35,3,1/14/03,2777-85,"{""Bin Hu""""Hong-ju Mao""""Jing Zhao""""Ying Huang""""Rong-huan Yu""""Chao Guan""}"
297,821702,Cognitive deficits and psychosis in Parkinson's disease: A review of pathophysiology and therapeutic options,0,empty,0,empty,20,6,1/6/01,477-505,"{""T. Foltynie""""R.A. Barker""""S.J.G. Lewis""""C.H. Williams-Gray""}"
298,188890,Incidence of multi-resistance in gram-negative aerobes from intensive care units of 10 German hospitals.,0,Scandinavian journal of infectious diseases. Supplementum,The American review of respiratory disease,0,9,-1,1/1/91,22-34,"{""R Asanger""""P M Shah""""F M Kahan""}"
299,321660,Tuberculosis and high altitude. Worth a try in extensively drug-resistant tuberculosis?,empty,empty,Respirology,empty,21,7,0,390-3,"{""J. F. Murray""}"
300,427455,Cultural humility: essential foundation for clinical researchers.,0,Applied nursing research : ANR,Eur J Radiol,1532-8201,26,4,1/13/11,251-6,"{""Katherine A Yeager""""Susan Bauer-Wu""}"
301,246204,Primary external fixation versus plaster immobilization of the intra-articular unstable distal radial fracture in the elderly,empty,empty,Clin Med,0,34,2,1/4/01,64-70,"{""J. Oskam""""J. H. Hegeman""""J. Palen""""H. J. Duis""""P. A. M. Vierhout""}"
302,857402,High resolution EPR spectroscopy of C(60)F and C(70)F in solid argon: reassignment of C(70)F regioisomers,0,JOURNAL OF CHEMICAL PHYSICS,J Chem Phys,1089-7690,127,8,1/7/01,84301,"{""D. A. Tyurin""""V. A. Belov""""D. N. Laikov""""A. V. Akimov""""E. Y. Misochko""}"
303,704357,Clinical and radiological results of calcium phosphate cement-assisted balloon osteoplasty for Colles' fractures in osteoporotic senile female patients,eng,J Orthop Sci,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,0949-2658 (Print) 0949-2658,15,2,1/10/01,204-9,"{""A. Sudo""""S. Ishiguro""""K. Iida""}"
304,716785,Explosive power and asymmetry in leg muscle function in frequent fallers and non-fallers aged over 65,0,empty,Bioelectromagnetics,0,31,2,1/2/01,119-125 7p,"{""Rutherford OM""""Kennedy J""""Skelton DA""}"
305,746065,Anxiety and depression in patients with chronic obstructive pulmonary disease: an open agenda for research.,0,Rev Med Chir Soc Med Nat Iasi,empty,0048-7848 (Print) 0048-7848,118,1,0,39-44,"{""Costin M.""""Dumbrav__ E.L.""""Postolache P.""""Cojocaru D.C.""}"
306,738322,Classification of autogenous skull grafts in cranial reconstruction,0,J Okla State Med Assoc,empty,0030-1876 (Print) 0030-1876,86,7,1/1/93,327-32,"{""S. Pelofsky""""P. D. Hunter""}"
307,934177,An Assessment of Voluntary Adolescent Mental Health Screening and Referral in a Children's Hospital Emergency Department,empty,empty,empty,empty,0,0,empty,0,"{""NCT00750412 ""}"
308,351534,Implementing participatory intervention and research in communities: lessons from the Kahnawake Schools Diabetes Prevention Project in Canada,0,empty,0,0,56,6,1/3/01,1295-1305,"{""T Delormier""""A C Macaulay""""M Cargo""""A M McComber""""L Potvin""}"
309,872389,Bile acid metabolism by fresh human colonic contents: a comparison of caecal versus faecal samples.,eng,Gut,Gut,0017-5749,49,6,1/1/12,835-42,"{""R H Dowling""""G M Murphy""""P B Hylemon""""G French""""M J Veysey""""L A Thomas""}"
310,499983,The role of viral infection in pulmonary exacerbations of     bronchiectasis in adults: a prospective study,German,empty,Transplantation,0,15,6,0,1635-1643,"{""Gao YH""""Lin ZY""""Zhang GJ""""Zhong NS""""Chen RC""""Gao Y""""Tang Y""""Lin ZM""""Xu G""""Li HM""""Guan WJ""}"
311,452432,Feverfew (Tanacetum parthenium L.): A systematic review.,empty,empty,empty,empty,0,0,empty,0,{NULL}
312,320139,Impact of second-line drug resistance on tuberculosis treatment outcomes in the United States: MDR-TB is bad enough,English,empty,empty,empty,16,10,1/12/01,1331-4,"{""J. P. Cegielski""""S. P. Althomsons""}"
313,735083,Muscle variables of importance for physiological performance in competitive football.,ENG,European journal of applied physiology,Eur. J. Appl. Physiol.,1439-6327,0,-1,8/15/10,0,"{""Sebastien Racinais""""Olivier Girard""""Lars Nybo""""Magni Mohr""""Martin Thomassen""}"
314,978471,Chapter 25 - Skin Manifestations of HIV Infection,English,empty,empty,empty,0,0,1/3/01,663-695,"{""Gary P. Wormser""""Alvin E. Friedman-Kien""""Miguel Sanchez""}"
315,152626,Recurrent distal 16q duplication and terminal 22q deletion: prenatal diagnosis and genetic counseling,English,0,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,empty,49,0,0,544-7 ST  - Recurrent distal 16q duplication and terminal 22q deletion: prenatal diagnosis and genetic counseling-,"{""D. D. Town""""C. P. Chen""""Y. N. Su""""W. CN  - PubMed DA  - Dec DO  - 10.1016/s1028-4559(10)60117-9 DP  - NLM ET  - 2011/01/05 Wang""""C. W. Pan""""C. C. Lee""""F. J. Tsai""""P. C. Wu""""M. C. Huang""}"
316,90272,Role of core-needle biopsy in thyroid nodules with initially nondiagnostic cytologic results.,0,Radiology,Radiology,1527-1315,270,2,1/14/02,629-30,"{""Qiao-Hong Hu""""Zhi-Liang Huang""""Xiao-Ming Fan""""Shuang-Xi Chen""""Xiang-Yang Song""""Xiao-Ying Qiu""}"
317,776651,The endoplasmic reticulum-associated VP7 of rotavirus is targeted to axons and dendrites in polarized neurons,eng,empty,0,empty,22,8,1/1/93,616-626,"{""K. Kristensson""""L. Svensson""""H. B. Greenberg""""K. Weclewicz""}"
318,931361,Telemedicine in the management of chronic pain: a cost analysis study,eng,empty,J Environ Monit,empty,56,8,0,590-6,"{""R. Kern""""A. Pronovost""""P. Peng""}"
319,623358,Moderation of cognition-intention and cognition-behaviour relations: a meta-analysis of properties of variables from the theory of planned behaviour.,eng,The British journal of social psychology / the British Psychological Society,Br J Soc Psychol,0144-6665,43,0,1/4/06,159-86,"{""Paschal Sheeran""""Richard Cooke""}"
320,385940,Normalisation of left ventricular systolic function after change from VVI pacing to biventricular pacing in a child with congenital complete atrioventricular block long-QT syndrome and congenital muscular dystrophy: a 10-year follow-up.,0,Cardiology in the young,Int J Stroke,1467-1107,24,3,1/14/06,520-3,"{""Jesper I Reimers""""Sabrina G Ellese""""Henrik  Andersen""}"
321,951168,Estimating the Effect of Land Leases on Prices of Inner-city Apartment Buildings,empty,empty,0,empty,40,10,0,2049,"{""Christian T. L. Janssen""}"
322,515254,Radiographic detection of artificially created horizontal root fracture using different cone beam CT units with small fields of view.,0,Dento maxillo facial radiology,Journal of graduate medical education,0250-832X,42,4,0,20120261,"{""S Murat""""H Avsever""""S Y_ksel""""C S Paksoy""""B Onder""""K Kamburoglu""}"
323,674623,Pharmacological treatments for obsessive-compulsive disorder in children and adolescents: a qualitative review.,eng,Actas espaolas de psiquiatr_a,Actas Esp Psiquiatr,1578-2735,41,3,1/13/05,196-203,"{""Angel Rosa-Alczar""""Ana I Rosa-Alczar""""Marina Iniesta-Sep_lveda""}"
324,226419,Anterior approach unilateral right sacrospinous fixation for recurrent pelvic organ prolapse following multiple colorectal surgeries.,ENG,International journal of colorectal disease,Int J Colorectal Dis,1432-1262,0,-1,7/15/01,0,"{""Enie Akhtar Bt Nawawi""""Ahlam M Al-Kharabsheh""""Tsia-Shu Lo""}"
325,178078,A community-based trachoma survey: Prevalence and risk factors in the Tigray region of northern Ethiopia,English,empty,0,0,13,0,1/6/01,173-181,"{""J. De La Camera""""M. M. Mesfin""""A. M. Kedir""""G. Amanual""""T. Araya""""I. G. Tareke""}"
326,453637,Corneal collagen cross-linking for nonectatic disorders: A systematic review.,empty,empty,empty,empty,0,0,empty,0,{NULL}
327,57483,Multiple dural arteriovenous fistulas presenting as rapidly progressive dementia.,0,The neurologist,Acad Radiol,1074-7931,18,3,1/12/05,130-2,"{""Diana Duro""""Augusto Goulo""""Gon_alo Santos""""Nuno Mendon_a""""Isabel Santana""""Eg_dio Machado""}"
328,462849,Methodological Review of the Quality of Reach Out and Read: Does It &quot;Work&quot;?,empty,empty,empty,empty,0,0,empty,0,{NULL}
329,338547,New therapies in soft tissue sarcoma,empty,Expert opinion on emerging drugs,Expert Opin Emerg Drugs,1744-7623,15,2,1/10/01,237-48,"{""Bruno Vincenzi""""Daniele Santini""""Giuseppe Tonini""""Anna Maria Frezza""}"
330,438808,Descemet's stripping endothelial keratoplasty: safety and outcomes: a report by the American Academy of Ophthalmology,empty,empty,empty,empty,0,0,empty,0,{NULL}
331,352040,Usefulness of a Survey on Underage Drinking in a Rural American Indian Community Health Clinic,0,empty,Biol.Blood Marrow Transplant.,empty,20,2,0,26-Jan,"{""Joel W. Grube""""Juan A. Luna""""David A. Gilder""""Jennifer Roberts""""Daniel Calac""""Cindy L. Ehlers""""Roland S. Moore""}"
332,887131,Antidiabetic oral treatment in older people: does frailty matter?,eng,Drugs & aging,Drugs Aging,1179-1969,26,-1,1/9/12,53-62,"{""Angela Marie Abbatecola""""Andrea Corsonello""""Silvia Bustacchini""""Fabrizia Lattanzio""""Giuseppe Paolisso""}"
333,182296,Body and Illness: Considering Visayan Filipino Children's Perspectives Within Local and Global Relationships of Inequality,English,empty,Circulation,0,-1,1,1/6/01,331-373,"{""Aitken Alderson Anderson Aptekar Backett-Milburn Beazley Becker Bello Berman Billig Bluebond-Langner Borchgrevink Bucholtz Christensen Constantino Cornwall Dell Clark DiCarlo Diprose Douglas Downe Geissler Goodenough Hart James James Jocano Katz Koppitz L Aguilar""""Lisa M. Mitchell""}"
334,49847,[Dinggui Oil Capsule in treating irritable bowel syndrome with stagnation of qi and cold: a prospective multi-center randomized placebo-controlled double-blind trial],empty,empty,empty,empty,5,0,0,392-7 ST  - [Dinggui Oil Capsule in treating irritable bowel syndrome with stagnation of qi and cold: a prospective multi-center randomized placebo-controlled double-blind trial]-,"{""M. D. Jiang""""Z. J. Fan""""T. Q. DA  - Jul DP  - NLM ET  - 2007/07/17 Li""""Q. Xia""""L. Wang""""Z. Yu""""R. M. Zhang""""F. X. Zhang""""X. N. Yang""""H. R. Zhang""}"
335,524073,Evaluation of technical quality of endodontic treatment--reliability of intraoral radiographs.,eng,Endodontics & dental traumatology,Endod Dent Traumatol,0109-2502,13,6,12/1/97,259-64,"{""M Eckerbom""""T Magnusson""}"
336,348813,Experience in one centre using the buttoned device for occlusion of atrial septal defect: comparison with the Amplatzer septal occluder.,eng,Cardiol Young,Cardiology in the young,1047-9511,10,5,9/1/00,527-33,"{""G Vaksmann""""A Vincentelli""""C Francart""""M A Cajot""""G M Brevire""""F Godart""""J M Coullet""""P Devos""""C Rey""}"
337,427933,Consciousness coma and caring for the brain-injured patient.,eng,empty,0,empty,16,4,1/5/10,441-55,"{""Carmelo Graffagnino""""DaiWai M Olson""}"
338,6862,Long-term outcome for immune suppression and immune related lymphoproliferative disorder: Prospective data from the United Kingdom Children's Leukaemia and Cancer Group registry 1994-2004,0,empty,Rheumatology,empty,53,5,0,842-848,"{""A. Wotherspoon""""M.M. Taj""""N. Hadzic""""M. Burke""""R. Hobson""""S.E. Height""""M. Viskaduraki""""C.R. Pinkerton""}"
